Date,Year,StudyYear,Site,Transect,SiteDateTransectID,Plot,SiteDatePlotID
2020-09-28T00:00:00Z,2020,1,TumamocHill,5_2,1,260,1
2020-09-28T00:00:00Z,2020,1,TumamocHill,5_2,1,261,2
2020-09-28T00:00:00Z,2020,1,TumamocHill,5_2,1,262,3
2020-10-16T00:00:00Z,2020,1,TumamocHill,5_3,2,40,4
2020-10-16T00:00:00Z,2020,1,TumamocHill,5_3,2,41,8
2020-10-16T00:00:00Z,2020,1,TumamocHill,5_3,2,42,9
2020-09-29T00:00:00Z,2020,1,TumamocHill,3_1,3,299,5
2020-10-17T00:00:00Z,2020,1,TumamocHill,3_1,4,300,6
2020-10-17T00:00:00Z,2020,1,TumamocHill,3_1,4,331,7
2020-09-30T00:00:00Z,2020,1,TumamocHill,5_5,5,96,10
2020-09-30T00:00:00Z,2020,1,TumamocHill,5_5,5,95,11
2020-09-28T00:00:00Z,2020,1,TumamocHill,5_5,6,94,12
2020-10-01T00:00:00Z,2020,1,TumamocHill,5_6,7,218,13
2020-10-01T00:00:00Z,2020,1,TumamocHill,5_6,7,219,14
2020-10-01T00:00:00Z,2020,1,TumamocHill,5_6,7,220,15
2020-10-01T00:00:00Z,2020,1,TumamocHill,5_4,8,221,16
2020-10-19T00:00:00Z,2020,1,TumamocHill,5_4,9,222,17
2020-10-19T00:00:00Z,2020,1,TumamocHill,5_4,9,223,18
2020-10-12T00:00:00Z,2020,1,TumamocHill,4_3,10,257,19
2020-10-12T00:00:00Z,2020,1,TumamocHill,4_3,10,258,20
2020-10-12T00:00:00Z,2020,1,TumamocHill,4_3,10,259,21
2020-09-29T00:00:00Z,2020,1,TumamocHill,3_3,11,254,22
2020-09-29T00:00:00Z,2020,1,TumamocHill,3_3,11,255,23
2020-09-29T00:00:00Z,2020,1,TumamocHill,3_3,11,256,24
2020-10-13T00:00:00Z,2020,1,TumamocHill,4_1,12,263,25
2020-10-13T00:00:00Z,2020,1,TumamocHill,4_1,12,264,26
2020-10-13T00:00:00Z,2020,1,TumamocHill,4_1,12,265,27
2020-10-15T00:00:00Z,2020,1,TumamocHill,4_2,13,296,28
2020-10-15T00:00:00Z,2020,1,TumamocHill,4_2,13,297,29
2020-10-15T00:00:00Z,2020,1,TumamocHill,4_2,13,298,30
2020-10-19T00:00:00Z,2020,1,TumamocHill,5_1,14,362,31
2020-10-19T00:00:00Z,2020,1,TumamocHill,5_1,14,363,32
2020-10-19T00:00:00Z,2020,1,TumamocHill,5_1,14,364,33
2021-09-26T00:00:00Z,2021,2,TumamocHill,5_2,15,260,34
2021-09-26T00:00:00Z,2021,2,TumamocHill,5_2,15,261,35
2021-09-26T00:00:00Z,2021,2,TumamocHill,5_2,15,262,36
2021-09-26T00:00:00Z,2021,2,TumamocHill,5_3,16,40,37
2021-09-26T00:00:00Z,2021,2,TumamocHill,5_3,16,41,41
2021-09-26T00:00:00Z,2021,2,TumamocHill,5_3,16,42,42
2021-09-24T00:00:00Z,2021,2,TumamocHill,3_1,17,299,38
2021-09-24T00:00:00Z,2021,2,TumamocHill,3_1,17,300,39
2021-09-24T00:00:00Z,2021,2,TumamocHill,3_1,17,331,40
2021-09-25T00:00:00Z,2021,2,TumamocHill,5_5,18,96,43
2021-09-25T00:00:00Z,2021,2,TumamocHill,5_5,18,95,44
2021-09-25T00:00:00Z,2021,2,TumamocHill,5_5,18,94,45
2021-09-25T00:00:00Z,2021,2,TumamocHill,5_6,19,218,46
2021-09-25T00:00:00Z,2021,2,TumamocHill,5_6,19,219,47
2021-09-25T00:00:00Z,2021,2,TumamocHill,5_6,19,220,48
2021-10-25T00:00:00Z,2021,2,TumamocHill,5_4,20,221,49
2021-10-25T00:00:00Z,2021,2,TumamocHill,5_4,20,222,50
2021-10-25T00:00:00Z,2021,2,TumamocHill,5_4,20,223,51
2021-10-26T00:00:00Z,2021,2,TumamocHill,4_3,21,257,52
2021-10-26T00:00:00Z,2021,2,TumamocHill,4_3,21,258,53
2021-10-26T00:00:00Z,2021,2,TumamocHill,4_3,21,259,54
2021-09-25T00:00:00Z,2021,2,TumamocHill,3_3,22,254,55
2021-09-25T00:00:00Z,2021,2,TumamocHill,3_3,22,255,56
2021-09-25T00:00:00Z,2021,2,TumamocHill,3_3,22,256,57
2021-10-10T00:00:00Z,2021,2,TumamocHill,4_1,23,263,58
2021-10-10T00:00:00Z,2021,2,TumamocHill,4_1,23,264,59
2021-10-10T00:00:00Z,2021,2,TumamocHill,4_1,23,265,60
2021-10-10T00:00:00Z,2021,2,TumamocHill,4_2,24,296,61
2021-10-10T00:00:00Z,2021,2,TumamocHill,4_2,24,297,62
2021-10-10T00:00:00Z,2021,2,TumamocHill,4_2,24,298,63
2021-10-14T00:00:00Z,2021,2,TumamocHill,5_1,25,362,64
2021-10-14T00:00:00Z,2021,2,TumamocHill,5_1,25,363,65
2021-10-14T00:00:00Z,2021,2,TumamocHill,5_1,25,364,66
2021-10-27T00:00:00Z,2021,2,TumamocHill,3_1,26,331,67
2021-11-01T00:00:00Z,2021,2,TumamocHill,3_1,27,331,68
2021-10-26T00:00:00Z,2021,2,TumamocHill,3_1,28,331,69
2021-10-26T00:00:00Z,2021,2,TumamocHill,3_1,28,300,74
2021-10-26T00:00:00Z,2021,2,TumamocHill,3_1,28,299,75
2021-10-28T00:00:00Z,2021,2,TumamocHill,3_1,29,331,70
2021-10-29T00:00:00Z,2021,2,TumamocHill,3_1,30,331,71
2021-10-30T00:00:00Z,2021,2,TumamocHill,3_1,31,331,72
2021-10-31T00:00:00Z,2021,2,TumamocHill,3_1,32,331,73
2022-11-15T00:00:00Z,2022,3,TumamocHill,5_2,33,260,76
2022-11-15T00:00:00Z,2022,3,TumamocHill,5_2,33,261,77
2022-11-15T00:00:00Z,2022,3,TumamocHill,5_2,33,262,78
2022-11-15T00:00:00Z,2022,3,TumamocHill,5_3,34,40,79
2022-11-15T00:00:00Z,2022,3,TumamocHill,5_3,34,41,80
2022-11-15T00:00:00Z,2022,3,TumamocHill,5_3,34,42,81
2022-11-14T00:00:00Z,2022,3,TumamocHill,5_5,35,96,82
2022-11-14T00:00:00Z,2022,3,TumamocHill,5_5,35,95,83
2022-11-14T00:00:00Z,2022,3,TumamocHill,5_5,35,94,84
2022-11-29T00:00:00Z,2022,3,TumamocHill,5_6,36,218,85
2022-11-29T00:00:00Z,2022,3,TumamocHill,5_6,36,219,86
2022-11-29T00:00:00Z,2022,3,TumamocHill,5_6,36,220,87
2022-11-28T00:00:00Z,2022,3,TumamocHill,5_4,37,221,88
2022-11-28T00:00:00Z,2022,3,TumamocHill,5_4,37,222,89
2022-11-28T00:00:00Z,2022,3,TumamocHill,5_4,37,223,90
2022-12-05T00:00:00Z,2022,3,TumamocHill,4_1,38,263,91
2022-12-05T00:00:00Z,2022,3,TumamocHill,4_1,38,264,92
2022-12-05T00:00:00Z,2022,3,TumamocHill,4_1,38,265,93
2022-12-05T00:00:00Z,2022,3,TumamocHill,4_2,39,296,94
2022-12-05T00:00:00Z,2022,3,TumamocHill,4_2,39,297,95
2022-12-05T00:00:00Z,2022,3,TumamocHill,4_2,39,298,96
2022-11-29T00:00:00Z,2022,3,TumamocHill,5_1,40,362,97
2022-11-29T00:00:00Z,2022,3,TumamocHill,5_1,40,363,98
2022-11-29T00:00:00Z,2022,3,TumamocHill,5_1,40,364,99
2021-10-23T00:00:00Z,2021,1,LomaVerde,71,41,416,100
2021-10-23T00:00:00Z,2021,1,LomaVerde,71,41,417,101
2021-10-23T00:00:00Z,2021,1,LomaVerde,71,41,418,102
2021-10-09T00:00:00Z,2021,1,LomaVerde,73,42,419,103
2021-10-09T00:00:00Z,2021,1,LomaVerde,73,42,420,104
2021-10-09T00:00:00Z,2021,1,LomaVerde,73,42,421,105
2021-10-09T00:00:00Z,2021,1,LomaVerde,74,43,422,106
2021-10-09T00:00:00Z,2021,1,LomaVerde,74,43,423,107
2021-10-09T00:00:00Z,2021,1,LomaVerde,74,43,424,108
2022-11-23T00:00:00Z,2022,2,LomaVerde,71,44,416,109
2022-11-23T00:00:00Z,2022,2,LomaVerde,71,44,417,110
2022-11-23T00:00:00Z,2022,2,LomaVerde,71,44,418,111
2022-11-22T00:00:00Z,2022,2,LomaVerde,73,45,419,112
2022-11-22T00:00:00Z,2022,2,LomaVerde,73,45,420,113
2022-11-22T00:00:00Z,2022,2,LomaVerde,73,45,421,114
2022-11-22T00:00:00Z,2022,2,LomaVerde,74,46,422,115
2022-11-22T00:00:00Z,2022,2,LomaVerde,74,46,423,116
2022-11-22T00:00:00Z,2022,2,LomaVerde,74,46,424,117
2023-12-11T00:00:00Z,2023,3,LomaVerde,71,47,416,118
2023-12-11T00:00:00Z,2023,3,LomaVerde,71,47,417,119
2023-12-11T00:00:00Z,2023,3,LomaVerde,71,47,418,120
2023-12-13T00:00:00Z,2023,3,LomaVerde,73,48,419,121
2023-12-13T00:00:00Z,2023,3,LomaVerde,73,48,420,122
2023-12-13T00:00:00Z,2023,3,LomaVerde,73,48,421,123
2023-12-15T00:00:00Z,2023,3,LomaVerde,74,49,422,124
2023-12-15T00:00:00Z,2023,3,LomaVerde,74,49,423,125
2023-12-15T00:00:00Z,2023,3,LomaVerde,74,49,424,126
2021-09-11T00:00:00Z,2021,1,KinneyHill,76,50,395,127
2021-09-11T00:00:00Z,2021,1,KinneyHill,76,50,396,128
2021-09-11T00:00:00Z,2021,1,KinneyHill,76,50,397,129
2021-09-11T00:00:00Z,2021,1,KinneyHill,57,51,398,130
2021-09-11T00:00:00Z,2021,1,KinneyHill,57,51,399,131
2021-09-11T00:00:00Z,2021,1,KinneyHill,57,51,400,132
2021-09-12T00:00:00Z,2021,1,KinneyHill,78,52,401,133
2021-09-12T00:00:00Z,2021,1,KinneyHill,78,52,402,134
2021-09-12T00:00:00Z,2021,1,KinneyHill,78,52,403,135
2021-09-12T00:00:00Z,2021,1,KinneyHill,77,53,404,136
2021-09-12T00:00:00Z,2021,1,KinneyHill,77,53,405,137
2021-09-12T00:00:00Z,2021,1,KinneyHill,77,53,406,138
2021-09-28T00:00:00Z,2021,1,KinneyHill,70,54,407,139
2021-09-28T00:00:00Z,2021,1,KinneyHill,70,54,408,140
2021-09-28T00:00:00Z,2021,1,KinneyHill,70,54,409,141
2021-09-29T00:00:00Z,2021,1,KinneyHill,66,55,410,142
2021-09-29T00:00:00Z,2021,1,KinneyHill,66,55,411,143
2021-09-29T00:00:00Z,2021,1,KinneyHill,66,55,412,144
2021-09-29T00:00:00Z,2021,1,KinneyHill,68,56,413,145
2021-09-29T00:00:00Z,2021,1,KinneyHill,68,56,414,146
2021-09-29T00:00:00Z,2021,1,KinneyHill,68,56,415,147
2022-11-04T00:00:00Z,2022,2,KinneyHill,76,57,395,148
2022-11-04T00:00:00Z,2022,2,KinneyHill,76,57,396,149
2022-11-04T00:00:00Z,2022,2,KinneyHill,76,57,397,150
2022-11-04T00:00:00Z,2022,2,KinneyHill,57,58,398,151
2022-11-04T00:00:00Z,2022,2,KinneyHill,57,58,399,152
2022-11-04T00:00:00Z,2022,2,KinneyHill,57,58,400,153
2022-11-11T00:00:00Z,2022,2,KinneyHill,78,59,401,154
2022-11-11T00:00:00Z,2022,2,KinneyHill,78,59,402,155
2022-11-11T00:00:00Z,2022,2,KinneyHill,78,59,403,156
2022-11-11T00:00:00Z,2022,2,KinneyHill,77,60,404,157
2022-11-11T00:00:00Z,2022,2,KinneyHill,77,60,405,158
2022-11-11T00:00:00Z,2022,2,KinneyHill,77,60,406,159
2022-11-01T00:00:00Z,2022,2,KinneyHill,70,61,407,160
2022-11-01T00:00:00Z,2022,2,KinneyHill,70,61,408,161
2022-11-01T00:00:00Z,2022,2,KinneyHill,70,61,409,162
2022-11-01T00:00:00Z,2022,2,KinneyHill,66,62,410,163
2022-11-01T00:00:00Z,2022,2,KinneyHill,66,62,411,164
2022-11-01T00:00:00Z,2022,2,KinneyHill,66,62,412,165
2022-11-11T00:00:00Z,2022,2,KinneyHill,68,63,413,166
2022-11-11T00:00:00Z,2022,2,KinneyHill,68,63,414,167
2022-11-11T00:00:00Z,2022,2,KinneyHill,68,63,415,168
2021-10-03T00:00:00Z,2021,1,ApachePeak,79,64,425,169
2021-10-03T00:00:00Z,2021,1,ApachePeak,79,64,426,170
2021-10-03T00:00:00Z,2021,1,ApachePeak,79,64,427,171
2021-10-02T00:00:00Z,2021,1,ApachePeak,80,65,428,172
2021-10-02T00:00:00Z,2021,1,ApachePeak,80,65,429,173
2021-10-02T00:00:00Z,2021,1,ApachePeak,82,66,430,174
2021-10-02T00:00:00Z,2021,1,ApachePeak,82,66,431,175
2021-10-02T00:00:00Z,2021,1,ApachePeak,82,66,432,176
2021-10-02T00:00:00Z,2021,1,ApachePeak,83,67,433,177
2021-10-02T00:00:00Z,2021,1,ApachePeak,83,67,434,178
2021-10-02T00:00:00Z,2021,1,ApachePeak,83,67,435,179
2021-10-15T00:00:00Z,2021,1,ApachePeak,84,68,436,180
2021-10-15T00:00:00Z,2021,1,ApachePeak,84,68,437,181
2021-10-15T00:00:00Z,2021,1,ApachePeak,84,68,438,182
2021-10-08T00:00:00Z,2021,1,ApachePeak,85,69,439,183
2021-10-08T00:00:00Z,2021,1,ApachePeak,85,69,440,184
2021-10-08T00:00:00Z,2021,1,ApachePeak,85,69,441,185
2022-10-18T00:00:00Z,2022,2,ApachePeak,79,70,425,186
2022-10-18T00:00:00Z,2022,2,ApachePeak,79,70,426,187
2022-10-18T00:00:00Z,2022,2,ApachePeak,79,70,427,188
2022-10-17T00:00:00Z,2022,2,ApachePeak,80,71,428,189
2022-10-17T00:00:00Z,2022,2,ApachePeak,80,71,429,190
2022-10-17T00:00:00Z,2022,2,ApachePeak,82,72,430,191
2022-10-17T00:00:00Z,2022,2,ApachePeak,82,72,431,192
2022-10-17T00:00:00Z,2022,2,ApachePeak,82,72,432,193
2022-10-11T00:00:00Z,2022,2,ApachePeak,83,73,433,194
2022-10-11T00:00:00Z,2022,2,ApachePeak,83,73,434,195
2022-10-11T00:00:00Z,2022,2,ApachePeak,83,73,435,196
2022-10-11T00:00:00Z,2022,2,ApachePeak,84,74,436,197
2022-10-11T00:00:00Z,2022,2,ApachePeak,84,74,437,198
2022-10-11T00:00:00Z,2022,2,ApachePeak,84,74,438,199
2022-11-13T00:00:00Z,2022,2,ApachePeak,85,75,439,200
2022-11-13T00:00:00Z,2022,2,ApachePeak,85,75,440,201
2022-10-18T00:00:00Z,2022,2,ApachePeak,85,76,441,202
2023-11-10T00:00:00Z,2023,3,ApachePeak,79,77,425,203
2023-11-10T00:00:00Z,2023,3,ApachePeak,79,77,426,204
2023-11-10T00:00:00Z,2023,3,ApachePeak,79,77,427,205
2023-11-06T00:00:00Z,2023,3,ApachePeak,80,78,428,206
2023-11-06T00:00:00Z,2023,3,ApachePeak,80,78,429,207
2023-10-27T00:00:00Z,2023,3,ApachePeak,82,79,430,208
2023-10-27T00:00:00Z,2023,3,ApachePeak,82,79,431,209
2023-10-27T00:00:00Z,2023,3,ApachePeak,82,79,432,210
2023-11-01T00:00:00Z,2023,3,ApachePeak,83,80,433,211
2023-11-01T00:00:00Z,2023,3,ApachePeak,83,80,434,212
2023-11-01T00:00:00Z,2023,3,ApachePeak,83,80,435,213
2023-11-03T00:00:00Z,2023,3,ApachePeak,84,81,436,214
2023-11-03T00:00:00Z,2023,3,ApachePeak,84,81,437,215
2023-11-03T00:00:00Z,2023,3,ApachePeak,84,81,438,216
2023-11-08T00:00:00Z,2023,3,ApachePeak,85,82,439,217
2023-11-08T00:00:00Z,2023,3,ApachePeak,85,82,440,218
2023-11-08T00:00:00Z,2023,3,ApachePeak,85,82,441,219
