Site,Date,Year,StudyYear,Latitude,Longitude,Elevation_ft,SiteDateTransectID,Transect
KinneyHill,2021-09-28T00:00:00Z,2021,1,32.248583333333336,-111.18043333333334,2872,54,70
KinneyHill,2022-11-01T00:00:00Z,2022,2,32.248583333333336,-111.18043333333334,2872,61,70
KinneyHill,2021-09-29T00:00:00Z,2021,1,32.24865,-111.17968333333333,2913,55,66
KinneyHill,2022-11-01T00:00:00Z,2022,2,32.24865,-111.17968333333333,2913,62,66
KinneyHill,2021-09-12T00:00:00Z,2021,1,32.24901666666667,-111.17916666666666,2959,52,78
KinneyHill,2022-11-11T00:00:00Z,2022,2,32.24901666666667,-111.17916666666666,2959,59,78
KinneyHill,2021-09-11T00:00:00Z,2021,1,32.24956666666667,-111.18116666666667,2918,51,57
KinneyHill,2022-11-04T00:00:00Z,2022,2,32.24956666666667,-111.18116666666667,2918,58,57
KinneyHill,2021-09-11T00:00:00Z,2021,1,32.24905,-111.18168333333334,2836,50,76
KinneyHill,2022-11-04T00:00:00Z,2022,2,32.24905,-111.18168333333334,2836,57,76
KinneyHill,2021-09-12T00:00:00Z,2021,1,32.24903333333334,-111.17893333333333,2899,53,77
KinneyHill,2022-11-11T00:00:00Z,2022,2,32.24903333333334,-111.17893333333333,2899,60,77
KinneyHill,2021-09-29T00:00:00Z,2021,1,32.25013333333333,-111.1835,2783,56,68
KinneyHill,2022-11-11T00:00:00Z,2022,2,32.25013333333333,-111.1835,2783,63,68
ApachePeak,2021-10-15T00:00:00Z,2021,1,32.283433333333335,-111.19218333333333,3052,68,84
ApachePeak,2022-10-11T00:00:00Z,2022,2,32.283433333333335,-111.19218333333333,3052,74,84
ApachePeak,2023-11-03T00:00:00Z,2023,3,32.283433333333335,-111.19218333333333,3052,81,84
ApachePeak,2021-10-02T00:00:00Z,2021,1,32.28378333333333,-111.19218333333333,3080,66,82
ApachePeak,2022-10-17T00:00:00Z,2022,2,32.28378333333333,-111.19218333333333,3080,72,82
ApachePeak,2023-10-27T00:00:00Z,2023,3,32.28378333333333,-111.19218333333333,3080,79,82
ApachePeak,2021-10-08T00:00:00Z,2021,1,32.28426666666667,-111.19056666666667,2802,69,85
ApachePeak,2022-11-13T00:00:00Z,2022,2,32.28426666666667,-111.19056666666667,2802,75,85
ApachePeak,2022-10-18T00:00:00Z,2022,2,32.28426666666667,-111.19056666666667,2802,76,85
ApachePeak,2023-11-08T00:00:00Z,2023,3,32.28426666666667,-111.19056666666667,2802,82,85
ApachePeak,2021-10-02T00:00:00Z,2021,1,32.28393333333333,-111.1925,3042,67,83
ApachePeak,2022-10-11T00:00:00Z,2022,2,32.28393333333333,-111.1925,3042,73,83
ApachePeak,2023-11-01T00:00:00Z,2023,3,32.28393333333333,-111.1925,3042,80,83
ApachePeak,2021-10-02T00:00:00Z,2021,1,32.284216666666666,-111.19191666666667,3067,65,80
ApachePeak,2022-10-17T00:00:00Z,2022,2,32.284216666666666,-111.19191666666667,3067,71,80
ApachePeak,2023-11-06T00:00:00Z,2023,3,32.284216666666666,-111.19191666666667,3067,78,80
ApachePeak,2021-10-03T00:00:00Z,2021,1,32.284333333333336,-111.19308333333333,2991,64,79
ApachePeak,2022-10-18T00:00:00Z,2022,2,32.284333333333336,-111.19308333333333,2991,70,79
ApachePeak,2023-11-10T00:00:00Z,2023,3,32.284333333333336,-111.19308333333333,2991,77,79
LomaVerde,2021-10-23T00:00:00Z,2021,1,32.19195,-110.69806666666666,3324,41,71
LomaVerde,2022-11-23T00:00:00Z,2022,2,32.19195,-110.69806666666666,3324,44,71
LomaVerde,2023-12-11T00:00:00Z,2023,3,32.19195,-110.69806666666666,3324,47,71
LomaVerde,2021-10-09T00:00:00Z,2021,1,32.19173333333333,-110.6965,3407,42,73
LomaVerde,2022-11-22T00:00:00Z,2022,2,32.19173333333333,-110.6965,3407,45,73
LomaVerde,2023-12-13T00:00:00Z,2023,3,32.19173333333333,-110.6965,3407,48,73
LomaVerde,2021-10-09T00:00:00Z,2021,1,32.191633333333336,-110.6963,3443,43,74
LomaVerde,2022-11-22T00:00:00Z,2022,2,32.191633333333336,-110.6963,3443,46,74
LomaVerde,2023-12-15T00:00:00Z,2023,3,32.191633333333336,-110.6963,3443,49,74
TumamocHill,2020-10-01T00:00:00Z,2020,1,32.214983333333336,-111.00876666666667,2703,8,5_4
TumamocHill,2020-10-19T00:00:00Z,2020,1,32.214983333333336,-111.00876666666667,2703,9,5_4
TumamocHill,2021-10-25T00:00:00Z,2021,2,32.214983333333336,-111.00876666666667,2703,20,5_4
TumamocHill,2022-11-28T00:00:00Z,2022,3,32.214983333333336,-111.00876666666667,2703,37,5_4
TumamocHill,2020-10-19T00:00:00Z,2020,1,32.212466666666664,-111.00926666666666,2693,14,5_1
TumamocHill,2021-10-14T00:00:00Z,2021,2,32.212466666666664,-111.00926666666666,2693,25,5_1
TumamocHill,2022-11-29T00:00:00Z,2022,3,32.212466666666664,-111.00926666666666,2693,40,5_1
TumamocHill,2020-10-01T00:00:00Z,2020,1,32.215583333333335,-111.00808333333333,2805,7,5_6
TumamocHill,2021-09-25T00:00:00Z,2021,2,32.215583333333335,-111.00808333333333,2805,19,5_6
TumamocHill,2022-11-29T00:00:00Z,2022,3,32.215583333333335,-111.00808333333333,2805,36,5_6
TumamocHill,2020-10-16T00:00:00Z,2020,1,32.21783333333333,-111.00748333333334,2816,2,5_3
TumamocHill,2021-09-26T00:00:00Z,2021,2,32.21783333333333,-111.00748333333334,2816,16,5_3
TumamocHill,2022-11-15T00:00:00Z,2022,3,32.21783333333333,-111.00748333333334,2816,34,5_3
TumamocHill,2020-09-28T00:00:00Z,2020,1,32.217616666666665,-111.00736666666667,2830,1,5_2
TumamocHill,2021-09-26T00:00:00Z,2021,2,32.217616666666665,-111.00736666666667,2830,15,5_2
TumamocHill,2022-11-15T00:00:00Z,2022,3,32.217616666666665,-111.00736666666667,2830,33,5_2
TumamocHill,2020-09-30T00:00:00Z,2020,1,32.21626666666667,-111.00651666666667,2885,5,5_5
TumamocHill,2020-09-28T00:00:00Z,2020,1,32.21626666666667,-111.00651666666667,2885,6,5_5
TumamocHill,2021-09-25T00:00:00Z,2021,2,32.21626666666667,-111.00651666666667,2885,18,5_5
TumamocHill,2022-11-14T00:00:00Z,2022,3,32.21626666666667,-111.00651666666667,2885,35,5_5
TumamocHill,2020-10-13T00:00:00Z,2020,1,32.21035,-111.00586666666666,2749,12,4_1
TumamocHill,2021-10-10T00:00:00Z,2021,2,32.21035,-111.00586666666666,2749,23,4_1
TumamocHill,2022-12-05T00:00:00Z,2022,3,32.21035,-111.00586666666666,2749,38,4_1
TumamocHill,2020-10-15T00:00:00Z,2020,1,32.20939333333333,-111.0061,2642,13,4_2
TumamocHill,2021-10-10T00:00:00Z,2021,2,32.20939333333333,-111.0061,2642,24,4_2
TumamocHill,2022-12-05T00:00:00Z,2022,3,32.20939333333333,-111.0061,2642,39,4_2
TumamocHill,2020-09-29T00:00:00Z,2020,1,32.213833333333334,-111.00293333333333,2775,3,3_1
TumamocHill,2020-10-17T00:00:00Z,2020,1,32.213833333333334,-111.00293333333333,2775,4,3_1
TumamocHill,2021-09-24T00:00:00Z,2021,2,32.213833333333334,-111.00293333333333,2775,17,3_1
TumamocHill,2021-10-27T00:00:00Z,2021,2,32.213833333333334,-111.00293333333333,2775,26,3_1
TumamocHill,2021-11-01T00:00:00Z,2021,2,32.213833333333334,-111.00293333333333,2775,27,3_1
TumamocHill,2021-10-26T00:00:00Z,2021,2,32.213833333333334,-111.00293333333333,2775,28,3_1
TumamocHill,2021-10-28T00:00:00Z,2021,2,32.213833333333334,-111.00293333333333,2775,29,3_1
TumamocHill,2021-10-29T00:00:00Z,2021,2,32.213833333333334,-111.00293333333333,2775,30,3_1
TumamocHill,2021-10-30T00:00:00Z,2021,2,32.213833333333334,-111.00293333333333,2775,31,3_1
TumamocHill,2021-10-31T00:00:00Z,2021,2,32.213833333333334,-111.00293333333333,2775,32,3_1
TumamocHill,2020-09-29T00:00:00Z,2020,1,32.214933333333335,-111.00213333333333,2711,11,3_3
TumamocHill,2021-09-25T00:00:00Z,2021,2,32.214933333333335,-111.00213333333333,2711,22,3_3
TumamocHill,2020-10-12T00:00:00Z,2020,1,32.21106833333333,-111.00449,3063,10,4_3
TumamocHill,2021-10-26T00:00:00Z,2021,2,32.21106833333333,-111.00449,3063,21,4_3
