Site,Date,Year,StudyYear,Latitude,Longitude,Elevation_ft,SiteDateTransectID,Transect,Prev_year_precip,MAP,MAT
TumamocHill,2020-09-28T00:00:00Z,2020,1,32.2176166666666,-111.007366666666,2830,1,5_2,228.21,276.05,20.9
TumamocHill,2020-10-16T00:00:00Z,2020,1,32.2178333333333,-111.007483333333,2816,2,5_3,228.18,276.04,20.9
TumamocHill,2020-09-29T00:00:00Z,2020,1,32.2138333333333,-111.002933333333,2775,3,3_1,221.22,274.39,20.9
TumamocHill,2020-10-17T00:00:00Z,2020,1,32.2138333333333,-111.002933333333,2775,4,3_1,221.22,274.39,20.9
TumamocHill,2020-09-30T00:00:00Z,2020,1,32.2162666666666,-111.006516666666,2885,5,5_5,227.3,275.87,20.9
TumamocHill,2020-09-28T00:00:00Z,2020,1,32.2162666666666,-111.006516666666,2885,6,5_5,227.3,275.87,20.9
TumamocHill,2020-10-01T00:00:00Z,2020,1,32.2155833333333,-111.008083333333,2805,7,5_6,227.97,276.04,20.9
TumamocHill,2020-10-01T00:00:00Z,2020,1,32.2149833333333,-111.008766666666,2703,8,5_4,227.93,276.22,20.9
TumamocHill,2020-10-19T00:00:00Z,2020,1,32.2149833333333,-111.008766666666,2703,9,5_4,227.93,276.22,20.9
TumamocHill,2020-10-12T00:00:00Z,2020,1,32.2110683333333,-111.00449,3063,10,4_3,220.14,274.91,20.9
TumamocHill,2020-09-29T00:00:00Z,2020,1,32.2149333333333,-111.002133333333,2711,11,3_3,220.79,273.94,20.9
TumamocHill,2020-10-13T00:00:00Z,2020,1,32.21035,-111.005866666666,2749,12,4_1,219.92,275.29,20.9
TumamocHill,2020-10-15T00:00:00Z,2020,1,32.2093933333333,-111.0061,2642,13,4_2,219.53,275.46,20.9
TumamocHill,2020-10-19T00:00:00Z,2020,1,32.2124666666666,-111.009266666666,2693,14,5_1,224.54,276.25,20.9
TumamocHill,2021-09-26T00:00:00Z,2021,2,32.2176166666666,-111.007366666666,2830,15,5_2,368.98,276.05,20.9
TumamocHill,2021-09-26T00:00:00Z,2021,2,32.2178333333333,-111.007483333333,2816,16,5_3,368.98,276.04,20.9
TumamocHill,2021-09-24T00:00:00Z,2021,2,32.2138333333333,-111.002933333333,2775,17,3_1,361.66,274.39,20.9
TumamocHill,2021-09-25T00:00:00Z,2021,2,32.2162666666666,-111.006516666666,2885,18,5_5,362.66,275.87,20.9
TumamocHill,2021-09-25T00:00:00Z,2021,2,32.2155833333333,-111.008083333333,2805,19,5_6,362.79,276.04,20.9
TumamocHill,2021-10-25T00:00:00Z,2021,2,32.2149833333333,-111.008766666666,2703,20,5_4,377.63,276.22,20.9
TumamocHill,2021-10-26T00:00:00Z,2021,2,32.2110683333333,-111.00449,3063,21,4_3,374.69,274.91,20.9
TumamocHill,2021-09-25T00:00:00Z,2021,2,32.2149333333333,-111.002133333333,2711,22,3_3,362.47,273.94,20.9
TumamocHill,2021-10-10T00:00:00Z,2021,2,32.21035,-111.005866666666,2749,23,4_1,374.54,275.29,20.9
TumamocHill,2021-10-10T00:00:00Z,2021,2,32.2093933333333,-111.0061,2642,24,4_2,374.31,275.46,20.9
TumamocHill,2021-10-14T00:00:00Z,2021,2,32.2124666666666,-111.009266666666,2693,25,5_1,376.04,276.25,20.9
TumamocHill,2021-10-27T00:00:00Z,2021,2,32.2138333333333,-111.002933333333,2775,26,3_1,376.64,274.39,20.9
TumamocHill,2021-11-01T00:00:00Z,2021,2,32.2138333333333,-111.002933333333,2775,27,3_1,376.64,274.39,20.9
TumamocHill,2021-10-26T00:00:00Z,2021,2,32.2138333333333,-111.002933333333,2775,28,3_1,376.64,274.39,20.9
TumamocHill,2021-10-28T00:00:00Z,2021,2,32.2138333333333,-111.002933333333,2775,29,3_1,376.64,274.39,20.9
TumamocHill,2021-10-29T00:00:00Z,2021,2,32.2138333333333,-111.002933333333,2775,30,3_1,376.64,274.39,20.9
TumamocHill,2021-10-30T00:00:00Z,2021,2,32.2138333333333,-111.002933333333,2775,31,3_1,376.64,274.39,20.9
TumamocHill,2021-10-31T00:00:00Z,2021,2,32.2138333333333,-111.002933333333,2775,32,3_1,376.64,274.39,20.9
TumamocHill,2022-11-15T00:00:00Z,2022,3,32.2176166666666,-111.007366666666,2830,33,5_2,244.04,276.05,20.9
TumamocHill,2022-11-15T00:00:00Z,2022,3,32.2178333333333,-111.007483333333,2816,34,5_3,244.01000000000002,276.04,20.9
TumamocHill,2022-11-14T00:00:00Z,2022,3,32.2162666666666,-111.006516666666,2885,35,5_5,244.4,275.87,20.9
TumamocHill,2022-11-29T00:00:00Z,2022,3,32.2155833333333,-111.008083333333,2805,36,5_6,244.15,276.04,20.9
TumamocHill,2022-11-28T00:00:00Z,2022,3,32.2149833333333,-111.008766666666,2703,37,5_4,243.71,276.22,20.9
TumamocHill,2022-12-05T00:00:00Z,2022,3,32.21035,-111.005866666666,2749,38,4_1,265.33,275.29,20.9
TumamocHill,2022-12-05T00:00:00Z,2022,3,32.2093933333333,-111.0061,2642,39,4_2,265.36,275.46,20.9
TumamocHill,2022-11-29T00:00:00Z,2022,3,32.2124666666666,-111.009266666666,2693,40,5_1,244.01,276.25,20.9
LomaVerde,2021-10-23T00:00:00Z,2021,1,32.19195,-110.698066666666,3324,41,71,497.52,355.47,19.9
LomaVerde,2021-10-09T00:00:00Z,2021,1,32.1917333333333,-110.6965,3407,42,73,497.48,359.44,19.7
LomaVerde,2021-10-09T00:00:00Z,2021,1,32.1916333333333,-110.6963,3443,43,74,500.61,364.52,19.5
LomaVerde,2022-11-23T00:00:00Z,2022,2,32.19195,-110.698066666666,3324,44,71,329.8,355.47,19.9
LomaVerde,2022-11-22T00:00:00Z,2022,2,32.1917333333333,-110.6965,3407,45,73,329.45,359.44,19.7
LomaVerde,2022-11-22T00:00:00Z,2022,2,32.1916333333333,-110.6963,3443,46,74,333.48,364.52,19.5
LomaVerde,2023-12-11T00:00:00Z,2023,3,32.19195,-110.698066666666,3324,47,71,265.36,355.47,19.9
LomaVerde,2023-12-13T00:00:00Z,2023,3,32.1917333333333,-110.6965,3407,48,73,269.22,359.44,19.7
LomaVerde,2023-12-15T00:00:00Z,2023,3,32.1916333333333,-110.6963,3443,49,74,264.35,364.52,19.5
KinneyHill,2021-09-11T00:00:00Z,2021,1,32.24905,-111.181683333333,2836,50,76,316.59000000000003,285.54,21
KinneyHill,2021-09-11T00:00:00Z,2021,1,32.2495666666666,-111.181166666666,2918,51,57,316.69,285.66,21
KinneyHill,2021-09-12T00:00:00Z,2021,1,32.2490166666666,-111.179166666666,2959,52,78,318.29,286.65,21
KinneyHill,2021-09-12T00:00:00Z,2021,1,32.2490333333333,-111.178933333333,2899,53,77,318.64,286.85,21
KinneyHill,2021-09-28T00:00:00Z,2021,1,32.2485833333333,-111.180433333333,2872,54,70,324.9,285.78,21
KinneyHill,2021-09-29T00:00:00Z,2021,1,32.24865,-111.179683333333,2913,55,66,325.51,286.17,21
KinneyHill,2021-09-29T00:00:00Z,2021,1,32.2501333333333,-111.1835,2783,56,68,323.93,285.51,21
KinneyHill,2022-11-04T00:00:00Z,2022,2,32.24905,-111.181683333333,2836,57,76,240.7,285.54,21
KinneyHill,2022-11-04T00:00:00Z,2022,2,32.2495666666666,-111.181166666666,2918,58,57,240.66,285.66,21
KinneyHill,2022-11-11T00:00:00Z,2022,2,32.2490166666666,-111.179166666666,2959,59,78,238.73,286.65,21
KinneyHill,2022-11-11T00:00:00Z,2022,2,32.2490333333333,-111.178933333333,2899,60,77,238.73,286.85,21
KinneyHill,2022-11-01T00:00:00Z,2022,2,32.2485833333333,-111.180433333333,2872,61,70,238.96,285.78,21
KinneyHill,2022-11-01T00:00:00Z,2022,2,32.24865,-111.179683333333,2913,62,66,238.49,286.17,21
KinneyHill,2022-11-11T00:00:00Z,2022,2,32.2501333333333,-111.1835,2783,63,68,241.98,285.51,21
ApachePeak,2021-10-03T00:00:00Z,2021,1,32.2843333333333,-111.19308333333301,2991,64,79,321.85,289.14,21.1
ApachePeak,2021-10-02T00:00:00Z,2021,1,32.2842166666666,-111.191916666666,3067,65,80,322.38,289.62,21.1
ApachePeak,2021-10-02T00:00:00Z,2021,1,32.2837833333333,-111.192183333333,3080,66,82,322.5,289.72,21.1
ApachePeak,2021-10-02T00:00:00Z,2021,1,32.2839333333333,-111.1925,3042,67,83,322.37,289.59,21.1
ApachePeak,2021-10-15T00:00:00Z,2021,1,32.2834333333333,-111.192183333333,3052,68,84,323.04,289.77,21.1
ApachePeak,2021-10-08T00:00:00Z,2021,1,32.2842666666666,-111.190566666666,2802,69,85,323.49,290.1,21.1
ApachePeak,2022-10-18T00:00:00Z,2022,2,32.2843333333333,-111.19308333333301,2991,70,79,268.41,289.14,21.1
ApachePeak,2022-10-17T00:00:00Z,2022,2,32.2842166666666,-111.191916666666,3067,71,80,268.59000000000003,289.62,21.1
ApachePeak,2022-10-17T00:00:00Z,2022,2,32.2837833333333,-111.192183333333,3080,72,82,268.64,289.72,21.1
ApachePeak,2022-10-11T00:00:00Z,2022,2,32.2839333333333,-111.1925,3042,73,83,266.81,289.59,21.1
ApachePeak,2022-10-11T00:00:00Z,2022,2,32.2834333333333,-111.192183333333,3052,74,84,266.94,289.77,21.1
ApachePeak,2022-11-13T00:00:00Z,2022,2,32.2842666666666,-111.190566666666,2802,75,85,268.34,290.1,21.1
ApachePeak,2022-10-18T00:00:00Z,2022,2,32.2842666666666,-111.190566666666,2802,76,85,268.31,290.1,21.1
ApachePeak,2023-11-10T00:00:00Z,2023,3,32.2843333333333,-111.19308333333301,2991,77,79,245.82,289.14,21.1
ApachePeak,2023-11-06T00:00:00Z,2023,3,32.2842166666666,-111.191916666666,3067,78,80,246.67,289.62,21.1
ApachePeak,2023-10-27T00:00:00Z,2023,3,32.2837833333333,-111.192183333333,3080,79,82,246.85,289.72,21.1
ApachePeak,2023-11-01T00:00:00Z,2023,3,32.2839333333333,-111.1925,3042,80,83,246.65,289.59,21.1
ApachePeak,2023-11-03T00:00:00Z,2023,3,32.2834333333333,-111.192183333333,3052,81,84,246.92,289.77,21.1
ApachePeak,2023-11-08T00:00:00Z,2023,3,32.2842666666666,-111.190566666666,2802,82,85,247.01,290.1,21.1
